,absences,failures,grade1,traveltime,studytime,famrel,freetime,goout,Dalc,Walc,health,activities,nursery,internet,romantic,school_gp,address_urban,famsize_gt3,Pstatus_togethor,sex_female,health_mjob,other_mjob,services_mjob,teacher_mjob,health_fjob,other_fjob,services_fjob,teacher_fjob,home_reason,other_reason,reputation_reason,mother_guardian,other_guardian
124,0,0,10,2,1,3,2,3,1,3,4,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
125,0,0,11,1,1,2,2,4,2,4,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
126,6,0,7,1,1,4,3,4,1,2,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
127,10,0,12,2,2,4,3,4,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
128,2,0,12,1,2,4,3,3,1,2,4,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
129,4,0,11,1,3,5,3,2,1,2,5,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
130,5,0,8,1,1,3,2,3,3,3,5,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
131,2,0,9,2,2,4,2,2,1,4,5,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0
132,0,0,10,1,2,4,4,4,2,4,2,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
133,0,3,5,4,2,5,3,5,1,5,5,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
134,6,0,11,3,1,4,3,3,1,2,4,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
135,2,1,9,2,1,5,3,3,2,3,5,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
136,8,0,14,1,2,1,2,2,1,2,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0
137,16,3,6,1,1,5,5,5,2,4,5,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
138,2,0,16,1,2,5,2,4,1,2,4,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
139,2,0,17,3,1,4,2,2,1,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
140,12,0,12,1,2,4,3,4,2,3,4,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
141,2,0,14,2,2,4,2,2,1,2,5,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
142,4,0,9,1,3,4,3,3,1,1,4,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
143,0,0,17,1,3,3,4,3,2,3,5,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
144,3,2,7,3,2,3,4,4,2,2,5,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
145,4,1,8,2,2,4,5,4,2,3,3,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
146,18,1,12,1,2,4,4,3,1,3,3,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1
147,4,0,7,3,1,4,4,3,2,2,5,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
148,0,0,12,1,2,5,3,3,1,1,5,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
149,6,0,8,1,2,4,4,3,1,3,4,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0
150,6,0,9,1,2,4,1,3,3,5,5,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
151,2,0,15,1,3,5,4,5,1,1,4,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0
152,0,2,7,1,1,3,3,3,1,2,4,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0
153,6,0,12,1,2,4,3,3,1,1,2,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0
154,0,0,11,1,3,4,4,3,1,3,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0
155,0,0,14,2,1,4,1,3,1,1,4,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
156,15,1,9,1,2,2,4,4,1,1,4,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
157,3,0,7,2,1,3,3,3,1,4,3,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
158,2,0,15,1,2,3,1,2,1,3,2,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
159,0,0,10,1,2,5,3,3,1,3,3,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
160,0,0,12,1,2,4,3,2,2,3,2,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
161,0,0,12,1,2,5,4,4,1,1,5,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
162,6,0,13,1,3,4,3,3,1,1,3,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0
163,4,0,12,1,1,5,3,5,1,2,5,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
164,4,1,11,1,3,4,3,4,1,3,3,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
165,0,0,14,1,2,4,3,5,1,1,3,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
166,4,0,12,1,1,5,4,3,1,1,5,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
167,2,0,14,1,1,4,4,4,2,2,4,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0
168,0,0,11,1,2,4,3,2,1,2,5,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
169,2,0,10,1,1,3,2,2,1,3,3,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
170,6,0,11,1,4,4,3,4,1,1,4,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0
171,0,0,11,2,2,4,1,1,1,1,4,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
172,6,0,13,1,3,3,2,3,1,2,2,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0
173,0,0,14,1,2,3,2,3,1,2,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
174,10,0,10,1,2,4,3,2,1,1,4,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
175,0,0,10,4,1,5,5,5,5,5,5,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
176,0,0,14,1,1,4,4,3,1,3,5,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0
177,16,0,10,3,1,3,3,4,3,5,3,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
178,0,0,10,2,4,4,4,4,1,1,4,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
179,4,0,10,1,2,4,3,5,2,4,4,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
180,0,0,16,2,2,4,5,2,1,2,5,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
181,2,0,11,1,2,4,3,3,1,1,5,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0
182,2,2,9,1,2,4,4,3,3,4,4,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
183,5,0,8,2,3,4,2,3,2,2,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
184,0,2,6,3,1,3,4,5,2,4,2,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
185,2,0,16,1,2,3,5,2,2,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
186,4,0,13,2,2,4,5,5,1,3,2,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
187,8,1,3,1,2,4,3,3,1,3,5,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
188,8,0,10,1,2,4,3,3,1,3,5,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
189,0,2,9,1,2,3,4,2,1,1,5,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
190,0,0,15,1,2,4,1,3,1,2,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0
191,10,3,7,1,2,4,3,2,2,3,3,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
192,4,0,11,1,2,4,3,3,2,2,5,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
193,4,0,12,1,4,4,3,3,1,2,3,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1
194,10,0,12,1,2,3,3,3,1,3,3,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0
195,4,0,9,1,2,4,4,4,1,3,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0
196,0,0,16,2,3,4,3,3,1,1,3,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0
197,0,0,11,1,4,4,5,5,2,4,5,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
198,2,0,12,1,2,5,3,4,1,1,2,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
199,10,0,10,1,4,4,3,3,1,1,4,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
